timestamp,queue_name,depth,enqueue_rate,dequeue_rate,avg_wait_time_ms,environment
2025-11-27T11:05:07.202363,deploy_queue_prod,1,0.69,1.55,283.31,prod
2025-11-27T11:05:07.216044,deploy_queue_prod,7,0.97,1.57,851.95,prod
2025-11-27T11:05:07.249257,deploy_queue_prod,8,0.86,1.6,881.39,prod
2025-11-27T11:05:07.261328,deploy_queue_prod,4,2.79,0.96,512.59,prod
2025-11-27T11:05:07.280621,deploy_queue_prod,11,1.13,2.5,1209.97,prod
2025-11-27T11:05:07.299458,deploy_queue_prod,6,0.57,1.71,692.55,prod
2025-11-27T11:05:07.320378,deploy_queue_prod,0,1.35,1.39,119.02,prod
2025-11-27T11:05:07.343783,deploy_queue_prod,5,1.48,0.82,624.66,prod
2025-11-27T11:05:07.358707,deploy_queue_prod,0,2.92,1.67,83.32,prod
2025-11-27T11:05:07.376295,deploy_queue_prod,2,2.25,0.89,338.75,prod
2025-11-27T11:05:07.412065,deploy_queue_prod,5,1.67,2.08,689.36,prod
2025-11-27T11:05:07.428605,deploy_queue_prod,7,2.38,1.41,896.35,prod
2025-11-27T11:05:07.454709,deploy_queue_prod,4,1.35,1.25,591.68,prod
2025-11-27T11:05:07.474997,deploy_queue_prod,3,0.78,1.11,437.52,prod
2025-11-27T11:05:07.499025,deploy_queue_prod,3,1.98,1.73,454.77,prod
2025-11-27T11:05:07.509606,deploy_queue_prod,8,2.51,1.57,960.83,prod
2025-11-27T11:05:07.526353,deploy_queue_prod,5,1.54,2.37,596.25,prod
2025-11-27T11:05:07.535630,deploy_queue_prod,5,2.92,2.38,571.84,prod
2025-11-27T11:05:07.542852,deploy_queue_prod,8,0.95,1.91,998.38,prod
2025-11-27T11:05:07.552336,deploy_queue_prod,13,2.87,2.35,1495.05,prod
2025-11-27T11:05:07.557957,deploy_queue_prod,6,1.96,1.05,708.99,prod
2025-11-27T11:05:07.566346,deploy_queue_prod,2,1.35,2.37,334.08,prod
2025-11-27T11:05:07.574304,deploy_queue_prod,7,1.03,1.75,831.68,prod
2025-11-27T11:05:07.580667,deploy_queue_prod,9,1.65,1.69,991.02,prod
2025-11-27T11:05:07.587888,deploy_queue_prod,6,1.79,1.12,657.13,prod
2025-11-27T11:05:07.597284,deploy_queue_prod,3,2.0,1.48,460.03,prod
2025-11-27T11:05:07.604817,deploy_queue_prod,3,1.43,1.7,441.43,prod
2025-11-27T11:05:07.610668,deploy_queue_prod,5,2.72,1.27,563.86,prod
2025-11-27T11:05:07.650762,deploy_queue_prod,1,2.82,2.33,258.1,prod
2025-11-27T11:05:07.674175,deploy_queue_prod,9,2.67,2.01,969.0,prod
2025-11-27T11:07:07.142920,test_queue,5,2.0,1.8,250,prod
