timestamp,service_name,operation,latency_ms,p50_ms,p95_ms,p99_ms,environment
2025-11-27T11:05:06.548850,deploy_agent_worker_2,heal_retry,1381.81,1105.44,2072.71,2763.61,stage
2025-11-27T11:05:06.549851,deploy_agent_worker_2,heal_restore,832.24,665.79,1248.36,1664.48,stage
2025-11-27T11:05:06.551062,deploy_agent_worker_3,heal_restore,1153.91,923.13,1730.87,2307.83,stage
2025-11-27T11:05:06.559454,deploy_agent_worker_1,heal_retry,1169.11,935.29,1753.67,2338.22,stage
2025-11-27T11:05:06.560581,deploy_agent_worker_1,heal_restore,1198.37,958.69,1797.55,2396.73,stage
2025-11-27T11:05:06.560581,deploy_agent_worker_2,heal_restore,699.36,559.49,1049.04,1398.72,stage
2025-11-27T11:05:06.572210,deploy_agent_worker_2,deploy,913.26,730.61,1369.89,1826.52,stage
2025-11-27T11:05:06.573264,deploy_agent_worker_3,heal_retry,692.58,554.06,1038.87,1385.16,stage
2025-11-27T11:05:06.573264,deploy_agent_worker_3,heal_restore,1006.25,805.0,1509.38,2012.51,stage
2025-11-27T11:05:06.579738,deploy_agent_worker_2,heal_retry,1974.02,1579.22,2961.03,3948.04,stage
2025-11-27T11:05:06.581737,deploy_agent_worker_3,heal_restore,1244.41,995.53,1866.61,2488.82,stage
2025-11-27T11:05:06.588052,deploy_agent_worker_1,heal_restore,672.64,538.11,1008.96,1345.27,stage
2025-11-27T11:05:06.589051,deploy_agent_worker_2,heal_restore,719.18,575.35,1078.78,1438.37,stage
2025-11-27T11:05:06.590052,deploy_agent_worker_3,deploy,1123.5,898.8,1685.25,2247.0,stage
2025-11-27T11:05:06.599361,deploy_agent_worker_1,deploy,1587.7,1270.16,2381.56,3175.41,stage
2025-11-27T11:05:06.605868,deploy_agent_worker_1,heal_retry,2009.71,1607.77,3014.57,4019.43,stage
2025-11-27T11:05:06.606869,deploy_agent_worker_2,deploy,1462.66,1170.13,2193.99,2925.32,stage
2025-11-27T11:05:06.606869,deploy_agent_worker_2,heal_restore,1292.64,1034.11,1938.95,2585.27,stage
2025-11-27T11:05:06.616408,deploy_agent_worker_3,deploy,997.8,798.24,1496.69,1995.59,stage
2025-11-27T11:05:06.617410,deploy_agent_worker_3,heal_retry,1675.42,1340.34,2513.13,3350.84,stage
2025-11-27T11:05:06.625908,deploy_agent_worker_1,deploy,2089.15,1671.32,3133.73,4178.3,stage
2025-11-27T11:05:06.626905,deploy_agent_worker_1,heal_restore,1565.91,1252.73,2348.86,3131.82,stage
2025-11-27T11:05:06.628061,deploy_agent_worker_2,deploy,1829.26,1463.41,2743.89,3658.52,stage
2025-11-27T11:05:06.628061,deploy_agent_worker_3,heal_restore,1699.65,1359.72,2549.47,3399.3,stage
2025-11-27T11:05:06.637690,deploy_agent_worker_2,deploy,1015.13,812.11,1522.7,2030.26,stage
